age_group,region,residence_type,ownership_years,num_dogs,biggest_challenge,app_use_likelihood,num_services_used,num_features_valued,app_interest_scale,monthly_spend_inr
25-34,North,Apartment,1-3,2,Grooming,No,6,5,1,3484.0
55+,East,Apartment,<1,1,Grooming,Maybe,2,6,3,839.0
35-44,East,Apartment,1-3,1,Vet Access,Yes,2,1,2,1767.0
25-34,West,Apartment,4-7,1,Food Quality,Yes,4,6,8,2887.0
18-24,West,Apartment,1-3,1,Food Quality,Yes,4,1,6,805.0
18-24,Central,Independent House,8+,2,Food Quality,Maybe,6,6,9,7891.0
18-24,East,Apartment,8+,2,Grooming,Maybe,4,3,8,7572.0
45-54,South,Apartment,1-3,1,Grooming,Yes,2,4,10,2324.0
35-44,West,Independent House,1-3,1,Grooming,Yes,3,4,3,2100.0
35-44,South,Independent House,1-3,4,Training,Yes,5,1,5,7015.0
18-24,South,Apartment,4-7,1,Healthcare Cost,Maybe,3,2,7,2988.0
55+,North,Villa,1-3,1,Training,Maybe,3,7,5,
45-54,North,Independent House,4-7,1,Finding Pet-Friendly Places,Yes,2,5,8,2166.0
18-24,Central,Apartment,1-3,2,Vet Access,Yes,3,5,5,3041.0
18-24,West,Villa,4-7,2,Vet Access,Yes,6,1,1,4981.0
18-24,West,PG/Hostel,1-3,1,Vet Access,No,1,6,5,2989.0
25-34,South,Apartment,1-3,1,Training,Yes,4,2,4,758.0
25-34,North,Apartment,8+,2,Healthcare Cost,Maybe,1,3,6,5825.0
25-34,North,Villa,4-7,2,Vet Access,Maybe,5,6,3,5031.0
25-34,South,Independent House,<1,1,Finding Pet-Friendly Places,Yes,4,6,5,
35-44,East,Apartment,8+,3,Vet Access,Yes,3,1,2,10638.0
18-24,West,Apartment,1-3,1,Finding Pet-Friendly Places,Yes,5,1,6,1945.0
25-34,West,Apartment,8+,1,Food Quality,Maybe,4,5,6,3321.0
25-34,South,Independent House,4-7,3,Vet Access,Maybe,6,1,5,8541.0
25-34,Central,Independent House,1-3,1,Grooming,Maybe,6,1,6,500.0
35-44,West,Apartment,<1,2,Food Quality,Yes,6,1,7,1437.0
18-24,East,Independent House,1-3,1,Food Quality,Yes,6,5,5,1667.0
25-34,West,Independent House,4-7,1,Food Quality,No,3,3,1,1135.0
25-34,South,Apartment,4-7,4,Healthcare Cost,Maybe,1,3,8,9659.0
18-24,South,Apartment,1-3,1,Grooming,Yes,4,7,4,3079.0
35-44,South,Independent House,<1,3,Food Quality,No,3,7,9,
18-24,West,Villa,8+,1,Grooming,Maybe,6,1,10,3684.0
18-24,North,Independent House,8+,1,Training,Maybe,1,7,6,2491.0
55+,North,Independent House,4-7,1,Food Quality,Maybe,5,5,1,1956.0
55+,North,Apartment,1-3,2,Food Quality,Maybe,5,3,3,3199.0
45-54,North,Apartment,1-3,1,Vet Access,Maybe,5,6,3,1495.0
